              precision    recall  f1-score   support

   micro avg       0.34      0.39      0.36     15615
   macro avg       0.38      0.42      0.33     15615
weighted avg       0.49      0.39      0.36     15615
 samples avg       0.36      0.40      0.35     15615
              precision    recall  f1-score   support

           0       0.08      0.22      0.12       223
           1       0.18      0.24      0.21       233
           2       0.25      0.26      0.26       297
           3       0.05      0.30      0.09       139
           4       0.35      0.36      0.35       398
           5       0.24      0.79      0.36       433
           6       0.63      0.20      0.30      1236
           7       0.46      0.27      0.34       653
           8       0.72      0.37      0.49       977
           9       0.32      0.36      0.34       388
          10       0.17      0.42      0.24       141
          11       0.16      0.71      0.26       307
          12       0.53      0.71      0.61       982
          13       0.50      0.79      0.61       749
          14       0.62      0.23      0.34      1334
          15       0.22      0.52      0.31       448
          16       0.57      0.26      0.36       680
          17       0.22      0.68      0.34       399
          18       0.49      0.37      0.42       673
          19       0.12      0.42      0.19       225
          20       0.28      0.28      0.28       385
          21       0.82      0.39      0.53       903
          22       0.18      0.66      0.29       267
          23       0.28      0.15      0.20       498
          24       0.39      0.85      0.53       539
          25       0.75      0.25      0.38      1116
          26       0.45      0.11      0.18      1074

   micro avg       0.34      0.39      0.36     15697
   macro avg       0.37      0.41      0.33     15697
weighted avg       0.48      0.39      0.37     15697
 samples avg       0.36      0.41      0.35     15697
              precision    recall  f1-score   support

           0       0.09      0.28      0.13       207
           1       0.20      0.31      0.24       249
           2       0.18      0.26      0.22       212
           3       0.06      0.30      0.10       148
           4       0.32      0.32      0.32       352
           5       0.21      0.79      0.33       392
           6       0.65      0.26      0.37      1133
           7       0.48      0.32      0.38       641
           8       0.71      0.37      0.49       995
           9       0.36      0.32      0.34       383
          10       0.05      0.16      0.08       121
          11       0.15      0.72      0.25       304
          12       0.51      0.71      0.60       927
          13       0.31      0.75      0.44       496
          14       0.63      0.22      0.33      1419
          15       0.18      0.52      0.27       372
          16       0.54      0.26      0.35       679
          17       0.25      0.67      0.36       434
          18       0.59      0.34      0.43       794
          19       0.13      0.39      0.19       208
          20       0.29      0.29      0.29       408
          21       0.75      0.32      0.45       880
          22       0.19      0.73      0.31       269
          23       0.28      0.16      0.20       418
          24       0.41      0.81      0.54       545
          25       0.75      0.33      0.46       801
          26       0.40      0.11      0.17      1004
          27       0.61      0.31      0.41       937

   micro avg       0.33      0.38      0.35     15728
   macro avg       0.37      0.40      0.32     15728
weighted avg       0.48      0.38      0.37     15728
 samples avg       0.35      0.40      0.34     15728
              precision    recall  f1-score   support

           0       0.11      0.32      0.16       237
           1       0.23      0.43      0.30       274
           2       0.27      0.26      0.26       301
           3       0.06      0.31      0.11       161
           4       0.24      0.30      0.27       261
           5       0.18      0.78      0.29       321
           6       0.71      0.23      0.35      1300
           7       0.57      0.36      0.44       700
           8       0.70      0.32      0.44       967
           9       0.20      0.26      0.23       311
          10       0.11      0.31      0.17       141
          11       0.16      0.68      0.26       310
          12       0.53      0.74      0.62      1008
          13       0.31      0.76      0.44       453
          14       0.60      0.25      0.35      1250
          15       0.22      0.47      0.30       375
          16       0.46      0.19      0.27       613
          17       0.26      0.70      0.38       448
          18       0.46      0.36      0.40       633
          19       0.12      0.47      0.19       203
          20       0.30      0.25      0.27       484
          21       0.77      0.34      0.47       902
          22       0.20      0.74      0.32       268
          23       0.20      0.30      0.24       205
          24       0.37      0.80      0.51       488
          25       0.69      0.33      0.44       723
          26       0.49      0.11      0.19      1205
          27       0.42      0.24      0.31       638
          28       0.53      0.16      0.24       894

   micro avg       0.32      0.37      0.34     16074
   macro avg       0.36      0.41      0.32     16074
weighted avg       0.47      0.37      0.35     16074
 samples avg       0.34      0.39      0.33     16074
              precision    recall  f1-score   support

           0       0.09      0.24      0.13       223
           1       0.21      0.21      0.21       242
           2       0.23      0.21      0.22       308
           3       0.06      0.31      0.10       147
           4       0.33      0.30      0.31       377
           5       0.21      0.74      0.33       383
           6       0.69      0.21      0.33      1371
           7       0.50      0.31      0.38       636
           8       0.72      0.36      0.48      1087
           9       0.26      0.26      0.26       337
          10       0.21      0.34      0.26       181
          11       0.16      0.72      0.26       302
          12       0.48      0.76      0.59       903
          13       0.27      0.73      0.40       422
          14       0.62      0.22      0.33      1301
          15       0.20      0.43      0.27       352
          16       0.54      0.23      0.33       660
          17       0.22      0.65      0.33       387
          18       0.57      0.29      0.38       828
          19       0.12      0.51      0.19       222
          20       0.24      0.27      0.26       333
          21       0.74      0.31      0.44       891
          22       0.19      0.80      0.31       269
          23       0.20      0.17      0.18       306
          24       0.42      0.85      0.56       517
          25       0.71      0.36      0.47       732
          26       0.44      0.17      0.24       880
          27       0.47      0.30      0.37       664
          28       0.48      0.19      0.27       728
          29       0.08      0.20      0.11       206

   micro avg       0.32      0.36      0.34     16195
   macro avg       0.36      0.39      0.31     16195
weighted avg       0.47      0.36      0.35     16195
 samples avg       0.34      0.38      0.33     16195
